|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Okul Öncesi Brüt Okullaşma (3-5 Yaş) Oranı (%)|Ölçüm bazında|2013|28.0|
||2014|37.1|
||2015|38.6|
||2016|41.2|
||2017|44.7|
||2018|45.4|
||2019|43.3|
||2020|29.9|
||2021|48.8|
||2022|56.4|
||2023|57.2|
||2024|54.6|
||||
