|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Gündüz Bakım Evi, Kreşe Giden Çocuk Sayısı (Bin Kişi)|Ölçüm bazında|2015|315.0|
||2016|326.0|
||2017|335.0|
||2018|353.0|
||2019|406.0|
||2020|268.0|
||2021|212.0|
||2022|317.0|
||2023|375.0|
||2024|457.0|
||||
