|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Evde Bakılan Çocuk Sayısı (Bin Kişi)|Ölçüm bazında|2015|15541.0|
||2016|15583.0|
||2017|16334.0|
||2018|16408.0|
||2019|16498.0|
||2020|16627.0|
||2021|16338.0|
||2022|16047.0|
||2023|15352.0|
||2024|15099.0|
||||
